2020-11-20 17:28:55:649 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Found @SpringBootConfiguration com.softwarelab.application.SoftwareLabApplication for test class com.softwarelab.application.service.impl.DockerContainerServiceImplTest
2020-11-20 17:28:55:744 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2020-11-20 17:28:55:758 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper : Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@23aa363a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5ef6ae06, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@55dfebeb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6e35bc3d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1cdc4c27, org.springframework.test.context.transaction.TransactionalTestExecutionListener@77b14724, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5d9b7a8a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1e8ce150, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@604f2bd2, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1d3ac898, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b73be9f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@628c4ac0]
2020-11-20 17:28:56:327 INFO  c.s.a.s.i.DockerContainerServiceImplTest : Starting DockerContainerServiceImplTest on blackstar with PID 12232 (started by blackstar in /Users/blackstar/github/softwarelab/application)
2020-11-20 17:28:56:328 INFO  c.s.a.s.i.DockerContainerServiceImplTest : No active profile set, falling back to default profiles: default
2020-11-20 17:28:57:668 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Starting...
2020-11-20 17:29:01:206 INFO  com.zaxxer.hikari.HikariDataSource : HikariPool-1 - Start completed.
2020-11-20 17:29:01:473 WARN  c.b.m.core.metadata.TableInfoHelper : Can not find table primary key in Class: "com.softwarelab.application.entity.AppVersion".
2020-11-20 17:29:02:263 INFO  o.s.s.web.DefaultSecurityFilterChain : Creating filter chain: Ant [pattern='/static/**'], []
2020-11-20 17:29:02:585 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping : Adding welcome page: class path resource [static/index.html]
